age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
44,122568,7.8,6,1.8,4,5,13,18,47474,110369,6,6,4,9,4,5,5,6,4,8,7,Female,Tier 1,Store
79,15000,4.2,3,2.5,3,4,11,10,900,82163,6,4,4,4,7,5,7,8,9,10,5,Male,Tier 3,Store
27,153004,8.7,14,6.0,6,10,33,10,110065,55017,2,2,6,6,10,8,8,2,3,10,6,Other,Tier 2,Hybrid
57,133006,8.2,8,4.3,4,7,21,10,87797,105127,6,7,3,3,4,5,4,4,5,7,3,Male,Tier 2,Store
43,60508,8.4,1,4.4,7,10,35,4,40535,41394,6,6,5,6,8,9,9,5,1,6,5,Female,Tier 3,Hybrid
65,103802,6.6,10,2.8,6,6,20,9,47713,8340,7,4,5,2,9,6,6,6,5,6,4,Female,Tier 3,Store
57,168927,7.8,11,3.8,7,10,32,7,150000,83036,6,6,6,6,6,9,7,5,8,6,3,Other,Tier 3,Hybrid
67,197391,3.3,5,0.0,3,5,5,9,122483,47314,2,1,5,4,4,3,4,9,5,5,3,Female,Tier 2,Store
51,224273,5.3,5,1.6,8,6,17,13,96733,105745,4,5,4,5,7,8,7,8,6,7,8,Male,Tier 1,Store
36,158083,10.7,7,4.5,8,10,40,10,150000,20049,9,6,4,4,7,9,5,5,3,9,7,Female,Tier 2,Online
49,77045,6.1,3,4.1,7,10,22,10,92718,60893,4,4,4,8,8,8,7,5,6,5,7,Male,Tier 2,Store
46,213581,6.3,5,4.2,2,5,15,9,77124,43859,4,5,4,2,5,3,7,9,7,7,6,Other,Tier 1,Store
29,46752,9.2,7,5.7,6,10,36,6,96562,73617,7,5,2,7,8,7,8,4,1,8,9,Female,Tier 1,Online
38,106820,5.1,5,4.2,7,8,9,17,70454,26025,6,4,3,10,4,7,8,6,3,5,8,Other,Tier 1,Store
46,143114,6.1,6,3.4,5,9,27,16,68757,71144,7,5,2,6,8,9,8,6,4,1,8,Other,Tier 1,Store
40,88855,5.8,11,2.9,5,6,24,6,44191,55788,5,5,7,6,6,7,9,1,3,9,7,Male,Tier 3,Hybrid
43,163210,8.5,7,6.0,6,10,43,10,79006,105410,8,2,4,4,6,4,9,5,5,8,7,Other,Tier 1,Hybrid
33,154419,9.1,8,3.9,8,10,37,2,150000,44601,3,4,4,5,10,9,7,2,2,10,4,Male,Tier 1,Hybrid
23,99176,8.4,4,3.5,8,8,32,4,150000,74794,5,2,6,8,6,6,8,5,4,8,2,Female,Tier 3,Hybrid
64,104522,5.8,8,3.8,5,7,23,5,84671,38961,7,9,4,6,7,2,7,7,8,7,3,Male,Tier 3,Store
24,121043,8.0,1,4.6,6,7,20,14,117101,73292,10,5,5,5,4,6,8,6,1,6,1,Male,Tier 2,Hybrid
61,147654,7.7,4,2.2,7,4,8,13,48038,99728,6,6,6,6,8,6,5,10,4,4,7,Female,Tier 3,Store
63,138960,6.7,2,3.5,5,5,12,17,32488,101954,9,8,6,10,5,4,5,7,10,3,3,Male,Tier 3,Store
59,154491,7.1,7,3.6,3,7,16,6,99275,78166,1,7,1,7,7,3,7,7,6,8,3,Male,Tier 2,Store
56,132475,7.4,14,2.6,4,8,25,10,150000,129299,4,4,4,5,6,7,4,5,7,6,8,Other,Tier 2,Store
35,81262,5.1,4,4.5,6,8,23,13,54526,83082,6,8,6,8,3,5,9,5,5,10,9,Female,Tier 3,Online
33,80642,11.9,6,4.9,5,9,45,6,102335,8971,5,4,6,3,6,9,9,5,4,8,3,Other,Tier 2,Hybrid
69,117549,3.5,1,3.7,2,1,8,17,62644,70225,7,6,4,3,4,5,9,10,8,2,3,Female,Tier 3,Store
62,134595,5.6,1,2.4,8,7,15,12,69374,500,3,2,3,5,3,7,5,6,5,5,7,Female,Tier 3,Store
77,114908,2.3,10,0.0,3,3,14,6,68424,32498,6,5,1,4,6,5,4,7,8,6,9,Other,Tier 2,Store
27,117465,7.7,4,5.1,8,7,24,11,104001,99593,3,4,5,7,5,7,10,4,3,2,5,Other,Tier 3,Store
55,162485,7.2,5,0.7,5,5,19,9,73681,75822,3,2,2,4,3,6,4,6,4,10,5,Male,Tier 2,Store
41,147981,7.3,4,5.8,3,9,36,5,85271,103026,8,2,4,4,7,3,9,9,5,10,9,Male,Tier 2,Hybrid
58,130447,8.1,10,2.0,3,5,13,4,36527,42287,5,4,6,1,5,4,5,9,4,8,3,Male,Tier 3,Store
69,191824,5.7,12,0.8,4,5,4,15,72159,49528,6,2,5,5,3,9,6,7,8,7,6,Male,Tier 2,Store
78,51387,6.8,11,4.0,4,6,19,9,90379,17766,4,2,1,7,3,5,8,3,4,9,3,Male,Tier 1,Store
38,172585,6.7,3,5.9,7,8,20,10,129489,78991,3,6,5,7,7,8,10,5,1,10,6,Female,Tier 2,Store
53,99469,4.6,11,4.7,6,5,6,18,5865,97269,6,4,3,5,3,5,10,7,5,4,8,Other,Tier 1,Store
54,44821,4.1,8,2.4,4,6,14,14,29268,91349,8,4,5,5,5,3,4,7,3,5,3,Other,Tier 3,Store
47,95836,6.9,8,1.8,3,4,16,10,116323,49714,7,3,4,6,10,5,6,3,8,6,7,Female,Tier 1,Store
46,238580,3.3,5,2.9,6,8,18,8,122596,115439,4,3,4,1,4,7,7,3,5,7,5,Female,Tier 1,Store
47,113929,10.4,11,5.1,5,5,34,0,78034,12686,10,8,7,7,6,1,7,5,4,8,8,Female,Tier 3,Hybrid
18,48540,9.0,1,5.7,6,10,30,6,75475,65090,8,3,7,9,6,9,9,3,1,6,7,Other,Tier 3,Store
34,93577,9.2,12,5.2,6,8,23,7,24499,500,8,1,6,4,7,7,7,4,4,5,8,Female,Tier 3,Hybrid
54,34795,4.3,4,4.4,7,7,29,8,900,23621,8,7,5,8,10,4,6,4,4,6,4,Male,Tier 2,Store
38,27292,6.2,11,6.0,10,9,29,10,34121,52016,7,3,4,7,9,7,10,8,6,6,10,Female,Tier 2,Hybrid
66,117926,3.1,2,2.4,1,4,0,11,1340,99913,6,6,5,6,4,6,9,7,8,6,3,Male,Tier 2,Store
59,126538,2.7,14,2.9,2,3,0,19,54995,85267,7,7,5,5,6,9,4,6,7,10,4,Female,Tier 2,Store
57,120215,9.2,5,3.1,5,7,26,19,55455,96613,4,4,5,5,2,6,4,10,3,4,2,Female,Tier 1,Store
77,144714,6.0,3,0.4,2,3,6,13,127907,53341,5,3,2,1,3,5,4,5,8,3,3,Male,Tier 2,Store
39,61808,9.2,14,5.3,6,5,25,3,80833,500,9,6,4,8,4,7,6,5,2,10,7,Female,Tier 1,Store
38,191167,7.5,13,5.4,3,6,20,9,90425,67957,4,2,4,7,7,3,10,1,3,7,7,Female,Tier 1,Store
33,115883,6.8,11,5.3,9,10,36,3,83466,55178,7,8,5,6,10,5,10,6,6,3,5,Male,Tier 3,Store
47,102512,10.0,4,4.4,4,7,43,6,85624,500,7,5,6,6,10,2,8,6,6,3,2,Male,Tier 2,Hybrid
61,148359,6.5,7,1.9,7,7,21,12,131999,97428,4,6,5,3,3,7,7,10,9,9,7,Male,Tier 2,Store
48,134549,8.2,11,6.0,4,6,21,8,115448,112969,8,5,6,6,5,4,6,6,6,5,10,Female,Tier 3,Store
58,58873,10.6,2,4.3,1,5,26,7,85037,76958,7,5,4,7,4,5,8,8,5,6,5,Male,Tier 2,Store
40,145081,7.2,7,4.0,10,8,24,7,74563,105726,7,7,5,4,4,6,3,5,2,5,6,Male,Tier 3,Hybrid
31,134945,8.9,11,3.7,8,6,16,13,141285,50862,6,1,5,4,4,7,10,6,1,10,8,Female,Tier 3,Store
51,101038,8.0,14,2.4,8,10,45,7,129905,68873,4,2,2,3,10,8,6,4,8,8,8,Male,Tier 3,Online
50,50066,4.8,9,4.1,6,10,39,5,38389,39532,6,9,4,9,8,5,9,5,3,7,10,Other,Tier 1,Hybrid
56,141057,5.6,5,2.4,5,7,20,2,55451,72410,5,5,1,3,2,6,5,8,8,7,4,Other,Tier 1,Hybrid
78,18129,7.6,6,0.5,6,4,0,14,900,64094,8,5,4,9,5,3,4,10,10,7,4,Male,Tier 2,Store
59,201897,4.5,10,2.2,6,5,23,8,143268,75234,5,4,5,7,7,5,4,6,8,6,1,Female,Tier 2,Store
79,40166,4.1,1,0.6,3,4,0,19,6208,85029,7,3,4,8,1,2,7,9,6,5,2,Male,Tier 2,Store
61,112889,4.5,11,1.9,4,3,0,19,15085,105081,5,4,7,9,1,6,7,8,8,6,1,Female,Tier 3,Store
37,115292,5.8,8,5.5,9,9,23,8,54894,65120,5,5,4,5,7,4,8,4,6,9,6,Male,Tier 2,Online
70,103992,2.2,1,1.5,7,3,0,13,51033,30040,8,3,4,6,8,6,5,9,3,8,5,Male,Tier 1,Store
54,159603,7.5,10,2.0,4,10,30,11,97519,38447,3,4,3,3,5,4,7,7,7,7,5,Female,Tier 1,Hybrid
45,182918,4.6,13,3.2,3,7,14,19,62172,139866,7,2,1,7,2,5,4,6,2,6,6,Male,Tier 1,Store
26,137490,8.0,9,3.2,5,10,40,0,150000,23352,7,4,3,6,8,6,10,2,1,6,6,Other,Tier 1,Online
59,181511,5.3,10,2.8,3,3,11,9,61922,48812,7,2,2,4,6,1,4,7,7,8,3,Female,Tier 1,Store
55,114892,8.3,9,2.0,5,5,14,11,87530,68752,6,4,3,4,2,4,2,2,2,6,10,Female,Tier 1,Store
44,117825,10.3,2,6.0,8,10,49,6,149865,29751,3,4,2,7,10,5,7,8,9,9,6,Male,Tier 2,Hybrid
41,171210,6.3,7,4.5,4,8,27,11,95909,122864,8,3,5,7,7,5,4,6,4,10,6,Other,Tier 1,Hybrid
23,82749,11.6,6,4.0,4,10,39,5,42836,58846,6,6,3,5,5,8,6,3,1,10,4,Male,Tier 1,Online
78,74633,3.3,4,1.1,2,4,11,11,7165,27033,8,4,4,4,4,8,4,10,6,5,5,Male,Tier 3,Store
48,135732,6.1,7,2.1,7,6,29,1,124522,63154,7,7,3,10,4,5,7,4,3,7,6,Male,Tier 2,Hybrid
33,102401,5.2,13,3.6,9,9,25,7,50007,26396,7,3,4,6,8,6,8,7,3,7,4,Male,Tier 2,Store
61,118492,3.4,1,2.5,4,5,0,17,40322,63470,8,5,5,5,4,2,6,9,5,6,3,Female,Tier 3,Store
60,160638,6.1,6,4.6,5,9,29,13,84404,29188,4,1,1,6,3,5,8,9,10,9,1,Other,Tier 1,Store
59,87564,6.0,7,3.1,6,8,21,6,52963,50746,6,3,6,5,10,7,7,7,5,5,1,Female,Tier 2,Store
36,103711,5.0,6,3.8,3,6,28,11,87113,108336,7,6,6,6,9,2,3,5,5,8,5,Male,Tier 3,Store
51,150831,5.9,5,2.1,4,5,10,8,70649,72202,10,5,4,6,7,6,3,9,4,4,10,Male,Tier 1,Hybrid
30,136777,11.1,7,2.7,8,10,47,0,98324,46613,2,9,5,6,7,8,10,1,4,10,5,Female,Tier 2,Online
54,165448,7.9,7,3.1,6,10,45,2,150000,34871,4,8,4,5,6,6,5,2,8,10,5,Male,Tier 2,Online
50,174020,7.7,6,2.9,4,6,28,0,83888,38225,4,5,7,7,7,10,7,3,6,7,7,Male,Tier 1,Hybrid
32,116745,9.3,10,4.5,7,10,44,1,150000,500,8,7,5,5,5,10,6,5,3,8,5,Male,Tier 2,Online
19,27475,6.9,3,2.6,8,10,34,0,103425,500,8,9,4,10,5,9,9,3,1,8,3,Male,Tier 1,Online
18,35897,7.6,3,6.0,5,9,42,9,101925,23082,6,4,6,8,10,7,10,6,5,6,8,Male,Tier 3,Hybrid
73,41796,4.8,5,3.2,4,4,11,19,34504,61763,8,2,3,10,5,2,6,8,7,5,4,Other,Tier 3,Store
55,172897,4.7,3,3.0,3,8,14,14,114987,67227,5,3,7,6,6,7,6,4,8,9,7,Female,Tier 3,Store
43,101249,12.0,8,3.3,5,10,42,6,96489,102552,5,5,4,3,5,8,8,6,3,10,10,Female,Tier 1,Online
54,179247,6.0,8,4.0,5,3,12,13,70132,97637,5,3,3,6,3,5,6,7,6,10,7,Female,Tier 2,Store
36,188498,8.3,7,3.0,6,10,49,4,150000,67211,1,5,7,4,8,6,9,6,1,10,4,Female,Tier 3,Online
51,150852,7.4,5,5.1,3,10,35,15,94446,94370,8,3,5,7,7,8,9,10,5,3,8,Male,Tier 2,Hybrid
51,76930,4.0,7,3.8,9,6,25,7,76184,500,8,6,5,6,7,1,7,6,8,4,6,Male,Tier 3,Store
50,53736,5.6,6,3.1,2,3,8,10,74346,89313,8,9,5,5,5,6,7,5,1,8,5,Female,Tier 3,Store
29,136368,9.2,14,4.9,4,10,40,7,110766,111359,6,2,3,6,7,7,10,7,3,8,10,Female,Tier 2,Online
49,123783,9.4,7,3.8,9,7,35,4,78183,47263,9,8,3,3,4,7,7,6,2,2,8,Female,Tier 2,Hybrid
63,138580,8.7,7,3.5,4,8,34,10,150000,88627,5,9,2,5,4,3,3,8,3,10,1,Female,Tier 1,Hybrid
60,191650,5.9,6,4.1,6,6,9,11,86100,67229,10,5,3,4,4,9,8,10,5,4,5,Male,Tier 1,Store
28,86185,12.0,7,4.3,7,10,49,2,115137,48381,5,5,5,7,5,10,7,6,5,10,6,Male,Tier 2,Online
37,156604,9.8,13,5.9,7,9,27,14,120349,71314,6,6,6,5,6,8,8,5,1,10,4,Female,Tier 3,Hybrid
51,245688,3.6,7,2.6,8,8,11,17,136813,150000,6,1,1,6,6,5,6,6,4,7,10,Male,Tier 1,Store
26,72409,6.7,7,2.4,7,10,22,0,23580,23471,7,4,4,5,9,6,6,3,3,5,6,Other,Tier 2,Online
46,93335,9.3,14,4.6,5,10,31,10,80944,48042,7,6,3,5,8,9,9,3,9,6,4,Female,Tier 3,Store
61,129390,6.5,8,2.5,3,6,11,7,33305,57895,6,4,4,6,6,2,1,8,3,7,8,Male,Tier 2,Store
39,165663,6.2,9,5.2,5,4,14,9,74134,90682,6,3,5,4,3,1,9,4,3,6,8,Male,Tier 3,Store
54,98622,11.0,14,3.7,3,9,31,5,109202,113278,10,7,4,6,2,8,4,8,4,10,10,Male,Tier 1,Store
54,149020,5.2,4,2.1,2,9,16,12,85627,23957,6,5,3,5,5,8,4,9,9,8,4,Female,Tier 1,Store
32,121222,8.2,10,4.8,7,9,27,2,52723,58957,2,9,5,4,7,8,10,5,9,5,8,Female,Tier 3,Hybrid
33,131552,8.6,6,6.0,7,7,32,0,60353,54697,5,4,3,3,8,8,9,3,4,5,7,Other,Tier 2,Online
28,55147,8.6,14,2.0,7,8,34,5,107278,39173,8,2,3,6,8,10,6,8,2,8,10,Male,Tier 2,Hybrid
76,64221,6.2,4,0.1,6,6,16,14,103199,96825,6,4,6,5,4,7,2,6,8,5,3,Female,Tier 2,Hybrid
27,138086,12.0,4,4.4,5,10,39,13,51996,73860,5,6,5,4,7,9,6,9,2,10,9,Female,Tier 1,Hybrid
58,141607,3.4,7,2.0,6,5,12,16,50607,76770,7,3,5,4,4,5,9,4,9,7,4,Male,Tier 1,Store
45,132784,6.7,1,1.8,5,6,1,9,36946,22756,5,3,5,8,5,2,6,5,5,7,4,Other,Tier 2,Store
24,174413,6.9,1,6.0,5,7,37,3,150000,90087,3,0,4,5,7,10,10,1,6,9,3,Female,Tier 1,Online
64,105178,4.9,2,1.3,5,5,18,7,46958,29287,5,4,3,4,8,4,5,4,5,9,3,Female,Tier 3,Store
18,60402,9.4,2,4.7,7,9,31,0,16388,32453,5,1,5,5,6,7,4,1,4,10,4,Female,Tier 3,Online
35,201883,4.2,11,3.9,1,5,0,15,94043,94496,4,4,6,4,3,6,10,7,3,10,8,Other,Tier 2,Store
55,171832,8.2,6,3.5,6,7,34,9,127712,41190,3,8,1,1,8,3,4,7,4,4,4,Other,Tier 1,Store
28,70989,11.8,10,6.0,5,10,36,9,75683,38166,10,6,5,1,10,5,10,5,1,4,10,Other,Tier 2,Hybrid
77,37179,4.5,7,2.1,7,8,23,7,46186,32470,7,5,3,6,3,6,6,8,10,10,5,Other,Tier 2,Store
53,33148,5.6,6,3.1,3,7,30,2,33635,500,10,8,2,6,10,7,7,6,4,8,8,Male,Tier 2,Store
47,101405,7.6,4,3.4,7,7,28,7,92393,49914,3,4,4,3,10,6,6,6,5,6,7,Male,Tier 3,Hybrid
34,209245,10.9,14,6.0,7,10,37,4,150000,94824,4,7,2,5,4,8,10,3,4,9,5,Male,Tier 1,Online
40,94904,8.9,5,5.9,5,8,34,10,40797,70345,3,6,6,7,8,3,7,5,4,7,5,Female,Tier 2,Hybrid
59,110612,4.1,4,4.5,3,6,13,10,35116,54140,4,6,5,5,6,5,6,6,5,6,1,Male,Tier 3,Store
40,215914,7.7,6,4.2,7,7,26,10,125290,95488,3,3,6,6,5,6,7,8,3,5,7,Male,Tier 2,Store
73,15000,4.6,7,2.3,1,4,14,6,21833,15782,8,3,6,9,1,5,4,7,9,6,4,Male,Tier 3,Store
39,156934,8.8,14,4.2,6,8,32,6,73836,500,6,9,4,8,8,5,9,7,4,10,8,Female,Tier 2,Store
41,202368,5.1,14,2.5,2,10,34,2,135776,56516,8,8,4,1,8,10,3,7,3,9,6,Female,Tier 2,Store
43,83604,7.3,7,4.0,6,10,47,2,118352,46412,7,8,4,8,10,6,6,3,5,6,2,Other,Tier 1,Online
37,77456,3.8,5,4.6,8,8,12,19,23765,101281,8,2,5,7,8,3,5,9,5,10,6,Female,Tier 3,Store
58,85692,7.6,8,2.0,5,7,23,10,92065,40309,3,3,7,5,5,9,6,8,4,6,4,Other,Tier 3,Hybrid
56,141881,6.8,8,4.1,5,7,18,15,72733,82060,7,8,3,10,5,5,9,8,8,4,4,Female,Tier 2,Store
30,151483,8.2,9,5.0,5,10,30,12,92382,140413,7,8,2,4,10,6,10,4,2,5,10,Other,Tier 3,Store
25,59702,4.9,7,5.9,6,8,32,11,86844,45269,8,9,4,5,6,4,7,8,2,6,9,Male,Tier 3,Store
47,137020,5.6,2,4.1,8,8,36,9,70120,25618,5,5,3,4,5,9,10,4,5,10,8,Male,Tier 1,Online
42,91207,10.4,12,5.9,8,7,31,8,47485,23051,10,6,4,7,1,6,10,8,7,7,5,Male,Tier 3,Hybrid
42,143547,10.2,7,5.0,7,10,29,7,92103,52506,4,6,4,8,7,10,10,7,2,10,6,Female,Tier 2,Hybrid
77,154468,2.8,1,0.9,3,5,0,15,47119,71651,3,2,4,6,1,6,3,10,9,7,4,Male,Tier 3,Store
61,89666,2.9,1,1.6,1,4,9,13,900,29919,9,3,5,9,8,6,7,8,7,8,8,Male,Tier 3,Store
69,102914,4.3,5,1.5,3,4,11,9,900,65528,7,5,4,3,5,6,5,10,7,5,7,Male,Tier 2,Store
60,72983,6.7,9,2.6,2,8,22,8,76751,99129,7,0,2,8,5,7,5,6,5,5,4,Male,Tier 2,Hybrid
33,135575,7.5,12,3.6,7,7,14,11,109697,45847,2,2,3,8,1,7,6,8,3,7,6,Female,Tier 1,Store
20,40327,11.9,7,5.7,10,10,43,6,84987,41984,10,3,4,2,7,7,9,5,5,6,7,Other,Tier 2,Online
37,106355,7.7,6,5.3,4,9,41,11,131344,93855,9,6,3,7,4,6,7,6,1,10,10,Male,Tier 1,Store
44,73655,4.8,7,3.4,7,10,38,18,45678,51808,10,4,5,7,10,5,5,6,4,10,9,Male,Tier 2,Hybrid
48,158364,4.9,4,2.1,5,8,14,7,102725,53174,3,5,3,3,4,4,5,8,6,6,7,Female,Tier 1,Store
50,101702,4.4,9,3.0,5,6,0,13,41210,87607,10,1,6,4,6,8,5,7,1,7,7,Other,Tier 2,Store
50,123930,6.2,6,2.0,3,3,15,10,107064,40804,6,6,5,5,4,3,10,6,4,10,10,Other,Tier 2,Store
35,127853,6.0,10,4.9,6,7,20,14,76341,93558,8,4,7,3,7,7,8,7,4,8,3,Male,Tier 2,Hybrid
50,122848,9.4,8,4.3,5,10,37,9,127502,32891,7,9,5,8,8,6,8,6,5,5,4,Other,Tier 3,Online
38,141312,5.2,7,4.5,5,9,15,11,45988,49847,4,3,5,5,4,7,5,4,2,8,5,Male,Tier 3,Store
36,78468,9.4,12,4.8,9,10,37,0,107468,500,10,7,4,5,3,9,7,1,3,6,2,Male,Tier 3,Online
40,119332,9.4,6,2.1,4,7,26,7,43391,22613,3,4,1,5,5,6,2,8,6,10,4,Other,Tier 1,Store
62,173357,4.7,4,2.7,5,3,18,17,118385,150000,6,3,4,5,7,6,3,9,4,5,5,Female,Tier 3,Store
61,49070,6.7,11,2.1,6,5,30,9,106564,45354,4,5,7,7,6,4,5,7,6,4,4,Male,Tier 3,Store
50,72822,6.9,11,4.6,1,5,26,9,71902,34759,6,4,5,6,6,3,10,6,5,10,8,Male,Tier 2,Store
63,149522,4.3,7,3.3,5,8,29,5,150000,29921,6,7,6,4,4,6,7,10,10,8,10,Male,Tier 2,Hybrid
62,134851,4.6,1,3.9,5,5,4,13,57987,44879,5,3,4,4,1,2,4,7,7,6,6,Female,Tier 3,Store
34,97698,7.8,8,5.2,7,10,34,2,116489,79331,7,5,2,5,7,7,10,7,4,10,10,Female,Tier 1,Hybrid
55,47241,4.5,9,0.5,3,4,0,19,5742,109567,4,3,4,6,2,1,1,10,3,8,5,Other,Tier 2,Store
56,71320,6.3,12,4.2,5,7,23,11,46185,78503,5,1,7,9,8,3,10,8,5,5,6,Male,Tier 3,Store
53,129660,8.6,7,3.3,3,7,26,12,45646,94024,7,1,2,9,4,5,5,5,5,9,4,Male,Tier 1,Store
52,54669,5.2,6,1.7,6,9,26,17,69692,148366,7,4,2,7,5,2,6,7,3,8,8,Male,Tier 1,Hybrid
45,69544,10.5,12,2.0,6,8,42,7,70025,67160,8,9,5,8,10,7,8,8,6,8,5,Male,Tier 1,Hybrid
45,88074,5.7,7,3.4,5,6,16,16,13327,84933,2,3,5,5,10,4,7,9,3,2,7,Male,Tier 3,Store
51,92742,6.8,12,2.7,7,10,26,16,96612,102935,2,7,2,4,10,10,7,9,7,10,4,Female,Tier 1,Hybrid
60,142411,7.2,7,2.5,5,10,26,8,89730,94602,6,8,3,7,7,10,5,5,8,4,6,Female,Tier 1,Hybrid
44,174896,7.8,11,3.2,9,10,45,3,103399,35225,3,9,3,2,8,4,8,4,5,1,4,Female,Tier 1,Online
44,172535,5.9,8,2.0,6,8,25,11,110323,111520,6,7,4,2,2,8,5,9,4,5,8,Other,Tier 1,Hybrid
68,95624,4.6,1,3.2,2,6,13,7,73820,50410,6,0,1,8,5,6,3,10,3,10,5,Male,Tier 1,Store
44,214626,10.0,14,4.4,4,10,41,1,150000,55375,7,7,1,5,5,8,7,4,1,5,9,Female,Tier 1,Online
45,150591,7.9,8,3.7,5,7,28,2,95815,76116,6,3,2,3,9,4,5,5,4,5,6,Female,Tier 1,Hybrid
31,162297,10.6,6,5.4,3,8,47,3,108681,95208,5,7,6,3,10,4,8,2,2,4,6,Male,Tier 3,Hybrid
72,167461,1.0,7,1.4,7,6,3,14,28699,72082,8,3,3,5,4,9,3,10,6,9,6,Other,Tier 2,Store
51,144018,6.9,8,2.6,5,6,19,2,56078,27675,3,4,1,6,8,4,3,3,4,7,6,Female,Tier 1,Hybrid
57,110608,3.6,4,0.8,2,9,20,11,86000,85867,5,4,2,5,8,5,2,7,6,9,3,Other,Tier 2,Store
50,101778,6.7,6,4.9,5,8,24,8,86603,66072,4,2,5,5,10,6,5,6,7,5,8,Other,Tier 3,Store
78,126520,2.6,1,0.3,1,2,5,15,83070,73357,7,3,5,4,6,1,5,10,9,4,1,Male,Tier 2,Store
42,199009,6.9,5,4.1,5,9,39,7,150000,32502,5,9,3,5,6,5,9,6,1,10,1,Male,Tier 2,Hybrid
23,118365,9.1,2,4.2,7,8,33,1,122320,3113,8,3,4,5,8,5,9,2,3,10,4,Male,Tier 2,Online
46,148262,9.0,12,4.9,4,4,6,14,9269,82007,3,4,4,3,2,2,7,5,8,8,3,Female,Tier 3,Store
25,139293,7.5,10,4.9,8,8,30,8,137105,73717,4,7,6,3,8,7,8,5,3,10,6,Other,Tier 2,Hybrid
64,150746,5.0,9,2.8,2,6,22,3,93846,34265,5,4,3,3,9,7,5,8,3,6,3,Male,Tier 1,Store
44,144818,9.8,3,2.8,5,5,25,13,37509,79437,6,8,3,4,4,8,9,10,7,9,7,Male,Tier 2,Store
23,68476,7.8,7,4.8,6,5,23,19,79586,82048,6,0,3,8,6,7,8,7,3,6,6,Female,Tier 2,Store
58,160098,4.5,5,2.3,8,6,8,11,100857,98313,10,3,2,1,3,9,3,6,6,4,2,Female,Tier 1,Store
39,228021,9.2,5,6.0,3,5,15,19,86233,149973,6,3,2,5,2,6,10,7,4,6,5,Other,Tier 1,Store
34,40909,7.0,12,4.1,4,7,23,12,79311,12323,8,4,6,8,4,6,9,4,1,9,1,Female,Tier 3,Store
26,149824,8.1,5,5.1,8,9,43,8,150000,150000,2,7,5,5,9,5,8,2,1,7,8,Female,Tier 3,Hybrid
61,95821,2.9,4,2.2,3,5,10,11,25479,21962,6,4,5,3,8,6,3,7,6,6,1,Male,Tier 2,Store
36,114901,7.3,13,6.0,8,10,29,18,82731,143476,8,2,2,5,8,6,8,8,4,10,5,Male,Tier 2,Store
76,56829,2.9,11,3.4,1,4,17,8,53831,72132,6,3,1,6,5,7,6,10,6,8,4,Female,Tier 1,Store
27,83594,12.0,10,6.0,6,10,37,3,112565,500,6,9,5,9,2,7,6,4,5,7,5,Male,Tier 3,Online
32,98509,5.8,7,4.6,5,7,33,0,81944,500,5,4,4,5,6,7,5,4,1,10,5,Female,Tier 2,Store
39,85274,9.8,8,5.5,8,10,46,5,72862,85546,10,8,3,5,8,5,6,4,5,10,5,Female,Tier 1,Online
18,162110,8.3,3,2.6,9,10,35,0,46239,43773,7,7,5,6,4,5,6,1,3,6,8,Female,Tier 3,Online
24,37257,8.0,4,5.8,8,7,26,7,83925,42762,10,7,7,3,2,4,8,6,1,10,3,Female,Tier 3,Store
43,47725,6.9,8,3.1,4,6,18,8,82209,48901,6,4,4,7,7,5,5,7,4,4,8,Female,Tier 3,Hybrid
48,46502,8.7,4,4.9,1,6,19,12,27513,43239,7,9,6,9,8,6,10,10,3,5,4,Male,Tier 3,Store
66,182886,1.0,8,2.6,7,4,0,19,34848,81037,4,5,3,5,4,4,3,10,6,7,1,Other,Tier 1,Store
51,92481,5.8,12,3.6,5,7,9,17,61172,69414,8,8,7,8,4,6,5,9,3,8,8,Female,Tier 3,Store
18,99825,10.7,8,5.7,7,10,41,10,91692,82779,10,9,3,4,9,5,10,6,5,9,8,Male,Tier 1,Online
56,163865,7.4,10,4.4,5,8,31,8,133335,102204,6,4,4,5,4,6,9,10,6,5,1,Female,Tier 2,Store
46,177225,6.9,9,4.6,5,9,15,15,72207,111464,7,4,6,5,4,4,10,5,7,2,5,Female,Tier 3,Store
34,143383,10.1,8,4.5,8,10,49,3,137721,19777,5,6,7,5,8,8,9,6,5,6,10,Male,Tier 3,Online
59,113565,3.8,12,2.3,9,10,20,4,37883,56015,5,4,2,7,6,7,4,6,1,4,9,Female,Tier 2,Store
30,81863,5.5,10,3.7,8,7,23,2,75952,7065,8,8,4,3,9,6,6,2,1,9,6,Other,Tier 2,Store
66,130411,4.8,9,2.3,4,2,0,6,72664,57370,8,4,3,5,6,7,5,8,7,7,6,Female,Tier 1,Store
54,78475,9.2,12,3.8,4,10,35,4,29090,50988,7,5,5,7,7,6,7,3,7,6,8,Female,Tier 3,Online
25,199256,8.7,10,3.7,2,10,29,4,117881,57320,1,6,2,5,9,9,8,4,2,9,4,Male,Tier 1,Hybrid
