branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id
alpha,alpha012432,2023-05-25 11:52:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,to go,mobile,M,False,
alpha,alpha012575,2023-05-26 16:46:00,tea,Thai Tea,0.5,70,17.5,1,70,52.5,0.75,to go,mobile,F,False,
alpha,alpha012782,2023-05-29 19:28:00,tea,Green Tea,0.5,65,19.5,1,65,45.5,0.7,eat in,mobile,M,True,997.0
beta,beta018235,2023-05-30 18:18:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,868.0
beta,beta018249,2023-05-31 08:03:00,tea,Green Tea,0.0,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,1146.0
alpha,alpha012994,2023-05-31 18:53:00,coffee,Iced Latte,0.25,65,19.5,1,65,45.5,0.7,to go,mobile,M,False,
alpha,alpha013143,2023-06-02 10:34:00,coffee,Iced Latte,0.25,65,19.5,1,65,45.5,0.7,eat in,mobile,M,False,
beta,beta018501,2023-06-02 15:34:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,cash,F,True,305.0
beta,beta018502,2023-06-02 15:35:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,eat in,mobile,F,True,1055.0
beta,beta018513,2023-06-02 16:18:00,tea,Jasmine Tea,0.25,55,11.0,1,55,44.0,0.8,to go,credit card,M,False,
beta,beta018537,2023-06-03 12:50:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,eat in,mobile,M,True,845.0
alpha,alpha013248,2023-06-03 18:32:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,to go,credit card,F,False,
beta,beta018715,2023-06-07 08:26:00,tea,Bubble Tea,1.0,70,17.5,1,70,52.5,0.75,eat in,mobile,M,True,1182.0
alpha,alpha013619,2023-06-09 07:41:00,coffee,Americano,0.5,45,13.5,2,90,63.0,0.7,to go,mobile,M,False,
alpha,alpha013724,2023-06-09 21:56:00,tea,Bubble Tea,0.75,70,17.5,2,140,105.0,0.75,delivery,mobile,M,False,
alpha,alpha013726,2023-06-10 08:34:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,False,
alpha,alpha013752,2023-06-10 16:39:00,coffee,Mocha,0.5,70,28.0,1,70,42.0,0.6,to go,mobile,M,True,1097.0
alpha,alpha013783,2023-06-12 08:08:00,coffee,Mocha,0.5,70,28.0,1,70,42.0,0.6,to go,mobile,M,True,150.0
alpha,alpha013786,2023-06-12 08:18:00,smoothie,Watermelon Smoothie,0.5,75,30.0,1,75,45.0,0.6,eat in,mobile,F,True,853.0
beta,beta019140,2023-06-12 16:14:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,mobile,M,True,51.0
beta,beta019162,2023-06-13 07:38:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,M,True,1012.0
alpha,alpha013941,2023-06-13 09:19:00,bakery,Muffin,,60,27.0,3,180,99.0,0.55,to go,mobile,F,False,
alpha,alpha014089,2023-06-14 14:59:00,bakery,Donut,,40,12.0,4,160,112.0,0.7,to go,credit card,F,False,
beta,beta019366,2023-06-15 12:26:00,bakery,Muffin,,60,27.0,3,180,99.0,0.55,to go,mobile,F,True,391.0
alpha,alpha014240,2023-06-16 08:20:00,tea,Thai Tea,0.25,70,17.5,2,140,105.0,0.75,eat in,credit card,F,False,
alpha,alpha014262,2023-06-16 10:42:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,credit card,M,False,
beta,beta019506,2023-06-16 16:17:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,mobile,F,True,353.0
beta,beta019510,2023-06-16 16:50:00,bakery,Muffin,,60,27.0,3,180,99.0,0.55,to go,mobile,M,True,1029.0
beta,beta019674,2023-06-19 13:18:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,to go,credit card,F,True,1140.0
alpha,alpha014680,2023-06-21 11:56:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,to go,cash,M,True,397.0
alpha,alpha014681,2023-06-21 12:03:00,coffee,Americano,1.0,45,13.5,4,180,126.0,0.7,to go,mobile,M,False,
beta,beta019920,2023-06-21 18:12:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,delivery,credit card,F,True,935.0
alpha,alpha014740,2023-06-21 21:45:00,coffee,Mocha,0.75,70,28.0,3,210,126.0,0.6,delivery,credit card,F,True,109.0
beta,beta020202,2023-06-25 13:26:00,coffee,Iced Latte,0.75,65,19.5,2,130,91.0,0.7,eat in,credit card,F,True,244.0
beta,beta020322,2023-06-26 19:48:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,mobile,M,False,
alpha,alpha015163,2023-06-27 08:22:00,coffee,Iced Latte,0.25,65,19.5,1,65,45.5,0.7,to go,mobile,M,True,956.0
alpha,alpha015196,2023-06-27 12:52:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,mobile,F,False,
beta,beta020379,2023-06-27 15:39:00,coffee,Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,mobile,M,False,
beta,beta020411,2023-06-27 18:40:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,False,
beta,beta020498,2023-06-28 17:44:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,delivery,credit card,F,True,1231.0
alpha,alpha015364,2023-06-29 09:48:00,coffee,Americano,0.25,45,13.5,2,90,63.0,0.7,to go,cash,M,False,
beta,beta020570,2023-06-29 16:02:00,bakery,Cheesecake,,120,72.0,3,360,144.0,0.4,delivery,mobile,F,True,346.0
alpha,alpha015489,2023-06-30 10:43:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,F,False,
alpha,alpha015508,2023-06-30 12:49:00,tea,Green Tea,1.0,65,19.5,1,65,45.5,0.7,to go,credit card,F,False,
beta,beta020655,2023-06-30 15:25:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,M,False,
beta,beta020681,2023-06-30 19:06:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,M,True,1097.0
beta,beta020709,2023-07-01 12:25:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,mobile,M,False,
beta,beta020752,2023-07-02 08:43:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,mobile,M,True,839.0
alpha,alpha015666,2023-07-03 08:20:00,coffee,Mocha Cold Brew,0.25,165,74.25,1,165,90.75,0.55,delivery,mobile,F,False,
alpha,alpha015728,2023-07-03 13:09:00,tea,Yuzu Tea,1.0,70,24.5,1,70,45.5,0.65,to go,mobile,M,False,
beta,beta020900,2023-07-04 09:44:00,coffee,Mocha Cold Brew,0.5,165,74.25,3,495,272.25,0.55,eat in,mobile,M,True,943.0
alpha,alpha015843,2023-07-04 10:48:00,tea,Green Tea,0.25,65,19.5,2,130,91.0,0.7,eat in,mobile,F,False,
alpha,alpha015848,2023-07-04 10:58:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,to go,mobile,M,False,
beta,beta020969,2023-07-04 17:49:00,bakery,Cookie,,85,29.75,10,850,552.5,0.65,delivery,mobile,M,True,306.0
beta,beta021010,2023-07-05 10:57:00,coffee,Nitro Flat White,0.25,155,69.75,1,155,85.25,0.55,eat in,mobile,F,True,417.0
alpha,alpha015971,2023-07-05 15:30:00,smoothie,Watermelon Smoothie,0.0,75,30.0,3,225,135.0,0.6,to go,credit card,F,False,
alpha,alpha015977,2023-07-05 15:43:00,smoothie,Kiwi Smoothie,0.25,90,40.5,2,180,99.0,0.55,to go,mobile,F,False,
alpha,alpha016025,2023-07-06 08:45:00,coffee,Iced Latte,0.5,65,19.5,2,130,91.0,0.7,delivery,credit card,F,False,
alpha,alpha016379,2023-07-10 14:36:00,tea,Yuzu Tea,0.75,70,24.5,2,140,91.0,0.65,to go,cash,F,False,
alpha,alpha016405,2023-07-10 16:35:00,tea,Thai Tea,0.25,70,17.5,2,140,105.0,0.75,delivery,credit card,M,False,
beta,beta021495,2023-07-11 12:24:00,tea,Bubble Tea,0.25,70,17.5,6,420,315.0,0.75,delivery,mobile,F,True,57.0
alpha,alpha016498,2023-07-11 13:45:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,mobile,F,False,
alpha,alpha016681,2023-07-13 10:41:00,tea,Black Tea,0.25,45,9.0,1,45,36.0,0.8,delivery,credit card,F,False,
alpha,alpha016750,2023-07-14 07:08:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,F,False,
alpha,alpha016795,2023-07-14 13:27:00,coffee,Nitro Flat White,0.75,155,69.75,3,465,255.75,0.55,to go,mobile,F,False,
alpha,alpha016836,2023-07-14 17:46:00,coffee,Cappuccino,0.25,75,26.25,1,75,48.75,0.65,to go,credit card,M,True,844.0
beta,beta021833,2023-07-15 15:39:00,coffee,Mocha,0.5,70,28.0,2,140,84.0,0.6,to go,mobile,F,True,891.0
beta,beta021946,2023-07-17 12:56:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,delivery,mobile,F,True,978.0
beta,beta021972,2023-07-17 16:49:00,smoothie,Watermelon Smoothie,0.5,75,30.0,3,225,135.0,0.6,to go,mobile,F,True,450.0
alpha,alpha017063,2023-07-18 08:33:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,credit card,F,False,
alpha,alpha017191,2023-07-19 11:22:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,delivery,mobile,M,False,
beta,beta022155,2023-07-20 08:28:00,coffee,Latte,0.5,65,26.0,1,65,39.0,0.6,delivery,mobile,F,True,1163.0
beta,beta022196,2023-07-20 13:48:00,tea,Thai Tea,0.5,70,17.5,2,140,105.0,0.75,to go,credit card,M,False,
beta,beta022199,2023-07-20 14:38:00,smoothie,Mango Smoothie,1.0,90,31.5,1,90,58.5,0.65,to go,mobile,F,True,142.0
beta,beta022204,2023-07-20 15:15:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,delivery,mobile,F,False,
beta,beta022352,2023-07-21 19:00:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,F,False,
beta,beta022369,2023-07-22 09:55:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,965.0
beta,beta022477,2023-07-24 10:22:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,161.0
beta,beta022576,2023-07-24 21:22:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,credit card,F,True,171.0
beta,beta022623,2023-07-25 12:08:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,to go,mobile,M,True,956.0
beta,beta022634,2023-07-25 13:11:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,mobile,F,True,347.0
alpha,alpha017886,2023-07-27 10:01:00,coffee,Cappuccino,0.0,75,26.25,1,75,48.75,0.65,to go,mobile,M,False,
alpha,alpha017917,2023-07-27 13:53:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,delivery,mobile,F,False,
alpha,alpha018002,2023-07-28 14:18:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,cash,F,True,903.0
beta,beta022884,2023-07-28 15:00:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,delivery,mobile,F,True,389.0
beta,beta022945,2023-07-30 08:21:00,coffee,Mocha,0.5,70,28.0,2,140,84.0,0.6,to go,mobile,F,True,203.0
alpha,alpha018131,2023-07-31 12:58:00,coffee,Iced Latte,0.75,65,19.5,1,65,45.5,0.7,eat in,credit card,F,False,
alpha,alpha018148,2023-07-31 15:09:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,mobile,M,True,997.0
alpha,alpha018184,2023-08-01 10:59:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,to go,credit card,F,False,
alpha,alpha018348,2023-08-03 15:12:00,bakery,Cookie,,85,29.75,4,340,221.0,0.65,to go,credit card,F,False,
beta,beta023182,2023-08-03 16:45:00,tea,Jasmine Tea,0.5,55,11.0,3,165,132.0,0.8,to go,mobile,F,True,552.0
alpha,alpha018569,2023-08-06 09:57:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,False,
alpha,alpha018573,2023-08-06 13:57:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,M,False,
alpha,alpha018734,2023-08-08 09:33:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,eat in,credit card,M,False,
beta,beta023868,2023-08-08 13:21:00,smoothie,Mango Smoothie,0.5,90,31.5,1,90,58.5,0.65,delivery,mobile,F,True,1027.0
beta,beta024129,2023-08-09 19:26:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,credit card,F,True,1357.0
alpha,alpha019014,2023-08-10 15:20:00,coffee,Espresso,1.0,55,19.25,1,55,35.75,0.65,eat in,credit card,F,False,
beta,beta024284,2023-08-11 08:17:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,delivery,mobile,F,True,1098.0
beta,beta024299,2023-08-11 09:25:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,True,1000.0
beta,beta024347,2023-08-11 12:20:00,coffee,Latte,0.75,65,26.0,2,130,78.0,0.6,delivery,gift card,F,True,1067.0
beta,beta024394,2023-08-11 14:45:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,cash,F,False,
beta,beta024437,2023-08-11 16:54:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,True,441.0
alpha,alpha019158,2023-08-11 18:06:00,smoothie,Mango Smoothie,0.75,90,31.5,2,180,117.0,0.65,delivery,credit card,F,False,
alpha,alpha019260,2023-08-14 15:31:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,F,False,
beta,beta024687,2023-08-15 12:39:00,tea,Bubble Tea,0.5,70,17.5,2,140,105.0,0.75,to go,mobile,M,True,1234.0
alpha,alpha019364,2023-08-15 17:43:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,eat in,credit card,M,True,22.0
beta,beta024771,2023-08-15 20:21:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,credit card,M,True,283.0
alpha,alpha019379,2023-08-16 07:00:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,to go,gift card,F,False,
alpha,alpha019448,2023-08-16 17:24:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,credit card,F,False,
alpha,alpha019646,2023-08-18 12:37:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,delivery,credit card,F,True,1295.0
beta,beta025194,2023-08-18 14:05:00,tea,Jasmine Tea,0.25,55,11.0,1,55,44.0,0.8,eat in,mobile,M,True,292.0
beta,beta025338,2023-08-19 15:46:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,mobile,M,True,1062.0
alpha,alpha019797,2023-08-20 16:54:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,credit card,M,True,1025.0
alpha,alpha019798,2023-08-20 19:53:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,eat in,mobile,M,False,
alpha,alpha019858,2023-08-21 14:08:00,tea,Bubble Tea,0.5,70,17.5,3,210,157.5,0.75,to go,credit card,M,False,
alpha,alpha019943,2023-08-22 10:53:00,coffee,Iced Latte,0.5,65,19.5,1,65,45.5,0.7,to go,mobile,F,False,
beta,beta025944,2023-08-23 18:53:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,True,131.0
beta,beta025968,2023-08-24 08:14:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
alpha,alpha020135,2023-08-24 09:40:00,coffee,Iced Latte,0.75,65,19.5,1,65,45.5,0.7,eat in,credit card,M,False,
beta,beta026045,2023-08-24 16:19:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,eat in,gift card,M,False,
beta,beta026269,2023-08-25 18:06:00,tea,Yuzu Tea,0.25,70,24.5,4,280,182.0,0.65,to go,mobile,F,True,303.0
beta,beta026406,2023-08-27 07:49:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,True,360.0
alpha,alpha020469,2023-08-28 13:58:00,smoothie,Mango Smoothie,0.25,90,31.5,3,270,175.5,0.65,to go,mobile,M,False,
beta,beta026646,2023-08-29 09:12:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,True,1266.0
alpha,alpha020582,2023-08-29 10:54:00,smoothie,Mango Smoothie,0.25,90,31.5,1,90,58.5,0.65,eat in,mobile,M,True,368.0
alpha,alpha020658,2023-08-29 18:49:00,coffee,Cappuccino,0.5,75,26.25,1,75,48.75,0.65,to go,credit card,F,True,303.0
alpha,alpha020700,2023-08-30 12:43:00,coffee,Iced Latte,0.0,65,19.5,1,65,45.5,0.7,eat in,mobile,F,False,
beta,beta026979,2023-08-31 09:52:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,True,472.0
beta,beta027028,2023-08-31 13:46:00,tea,Bubble Tea,0.0,70,17.5,2,140,105.0,0.75,to go,cash,F,False,
alpha,alpha020848,2023-08-31 16:52:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,to go,mobile,M,False,
alpha,alpha020959,2023-09-01 15:08:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,to go,mobile,M,True,268.0
beta,beta027377,2023-09-02 14:30:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,to go,mobile,F,True,209.0
beta,beta027584,2023-09-04 16:00:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,to go,mobile,F,True,1192.0
alpha,alpha021249,2023-09-05 08:43:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,to go,credit card,F,False,
alpha,alpha021553,2023-09-07 19:13:00,coffee,Mocha Cold Brew,0.5,165,74.25,1,165,90.75,0.55,to go,credit card,M,False,
beta,beta028202,2023-09-08 12:23:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,mobile,F,True,1265.0
alpha,alpha021704,2023-09-08 18:00:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,credit card,F,False,
alpha,alpha021737,2023-09-09 08:00:00,smoothie,Mango Smoothie,0.25,90,31.5,2,180,117.0,0.65,to go,credit card,F,True,606.0
alpha,alpha021921,2023-09-12 08:56:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,False,
beta,beta028689,2023-09-12 14:48:00,bakery,Croissant,,85,46.75000000000001,3,255,114.74999999999996,0.4499999999999999,to go,mobile,M,False,
beta,beta028780,2023-09-13 09:32:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,918.0
alpha,alpha022116,2023-09-14 08:21:00,coffee,Mocha,0.5,70,28.0,3,210,126.0,0.6,eat in,mobile,M,False,
alpha,alpha022154,2023-09-14 11:47:00,smoothie,Watermelon Smoothie,0.5,75,30.0,3,225,135.0,0.6,eat in,credit card,M,False,
alpha,alpha022251,2023-09-15 08:34:00,coffee,Nitro Flat White,1.0,155,69.75,1,155,85.25,0.55,to go,mobile,M,True,1173.0
beta,beta029134,2023-09-15 13:33:00,tea,Green Tea,0.25,65,19.5,2,130,91.0,0.7,delivery,mobile,F,False,
alpha,alpha022298,2023-09-15 14:26:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,eat in,mobile,F,False,
alpha,alpha022354,2023-09-16 07:39:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,to go,mobile,F,False,
beta,beta029258,2023-09-16 10:08:00,coffee,Americano,0.5,45,13.5,3,135,94.5,0.7,delivery,mobile,M,True,316.0
beta,beta029578,2023-09-18 19:10:00,coffee,Latte,0.75,65,26.0,1,65,39.0,0.6,eat in,mobile,F,True,303.0
beta,beta029814,2023-09-20 14:04:00,tea,Green Tea,0.25,65,19.5,3,195,136.5,0.7,to go,cash,F,False,
beta,beta029879,2023-09-21 07:35:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,eat in,credit card,F,True,1312.0
beta,beta029904,2023-09-21 10:02:00,tea,Thai Tea,0.5,70,17.5,3,210,157.5,0.75,eat in,mobile,F,True,1049.0
beta,beta030031,2023-09-22 08:33:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,True,494.0
alpha,alpha022953,2023-09-22 13:40:00,tea,Bubble Tea,0.5,70,17.5,2,140,105.0,0.75,delivery,credit card,F,False,
alpha,alpha023000,2023-09-22 17:10:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,to go,mobile,F,False,
alpha,alpha023013,2023-09-22 18:12:00,coffee,Nitro Flat White,0.75,155,69.75,2,310,170.5,0.55,to go,cash,F,False,
beta,beta030218,2023-09-22 19:53:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,True,495.0
alpha,alpha023035,2023-09-22 21:19:00,tea,Thai Tea,1.0,70,17.5,1,70,52.5,0.75,eat in,credit card,M,False,
beta,beta030437,2023-09-25 10:17:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,361.0
alpha,alpha023200,2023-09-25 16:31:00,coffee,Americano,0.5,45,13.5,1,45,31.5,0.7,to go,credit card,F,False,
beta,beta030587,2023-09-26 10:04:00,tea,Green Tea,0.5,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,924.0
alpha,alpha023266,2023-09-26 10:10:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,eat in,credit card,F,True,1271.0
alpha,alpha023299,2023-09-26 12:56:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,credit card,F,False,
beta,beta030671,2023-09-26 16:48:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,mobile,F,True,1303.0
alpha,alpha023387,2023-09-27 09:25:00,coffee,Nitro Flat White,0.25,155,69.75,2,310,170.5,0.55,eat in,credit card,F,False,
beta,beta030918,2023-09-28 15:11:00,coffee,Mocha,0.25,70,28.0,3,210,126.0,0.6,eat in,mobile,F,False,
alpha,alpha023568,2023-09-28 17:04:00,tea,Yuzu Tea,0.25,70,24.5,2,140,91.0,0.65,delivery,credit card,M,True,934.0
beta,beta030987,2023-09-29 07:55:00,tea,Jasmine Tea,0.0,55,11.0,3,165,132.0,0.8,to go,mobile,F,True,909.0
beta,beta031050,2023-09-29 12:33:00,tea,Green Tea,0.5,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,263.0
alpha,alpha023654,2023-09-29 15:05:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,to go,credit card,F,False,
beta,beta031147,2023-09-29 18:43:00,coffee,Americano,0.5,45,13.5,3,135,94.5,0.7,delivery,mobile,F,True,133.0
beta,beta031336,2023-10-01 18:20:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,to go,mobile,F,True,474.0
alpha,alpha023844,2023-10-02 14:31:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,to go,mobile,F,False,
alpha,alpha023852,2023-10-02 15:12:00,coffee,Cappuccino,0.25,75,26.25,2,150,97.5,0.65,to go,credit card,F,False,
alpha,alpha023859,2023-10-02 15:45:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,to go,credit card,M,False,
beta,beta031506,2023-10-02 16:13:00,coffee,Mocha,0.0,70,28.0,1,70,42.0,0.6,to go,gift card,F,True,1024.0
alpha,alpha023926,2023-10-03 08:15:00,coffee,Nitro Flat White,0.0,155,69.75,1,155,85.25,0.55,to go,credit card,M,True,929.0
beta,beta031587,2023-10-03 08:27:00,smoothie,Kiwi Smoothie,0.5,90,40.5,2,180,99.0,0.55,eat in,cash,M,False,
alpha,alpha023934,2023-10-03 08:39:00,tea,Green Tea,0.5,65,19.5,3,195,136.5,0.7,to go,credit card,M,False,
alpha,alpha024040,2023-10-03 18:57:00,coffee,Iced Americano,0.5,45,13.5,3,135,94.5,0.7,delivery,credit card,M,False,
beta,beta031937,2023-10-05 15:31:00,smoothie,Strawberry Smoothie,1.0,85,25.5,2,170,119.0,0.7,eat in,mobile,F,True,925.0
alpha,alpha024251,2023-10-05 16:59:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,mobile,M,False,
beta,beta031981,2023-10-05 19:07:00,tea,Yuzu Tea,0.25,70,24.5,3,210,136.5,0.65,eat in,credit card,F,True,611.0
alpha,alpha024423,2023-10-07 13:28:00,coffee,Espresso,1.0,55,19.25,1,55,35.75,0.65,eat in,mobile,F,False,
beta,beta032360,2023-10-09 07:56:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,delivery,cash,F,True,625.0
alpha,alpha024593,2023-10-09 18:33:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,to go,mobile,M,True,1136.0
alpha,alpha024668,2023-10-10 13:01:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,eat in,credit card,M,False,
beta,beta032655,2023-10-10 19:56:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,eat in,mobile,M,False,
beta,beta032678,2023-10-11 09:21:00,coffee,Mocha Cold Brew,0.25,165,74.25,3,495,272.25,0.55,to go,mobile,F,False,
beta,beta032709,2023-10-11 12:23:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,F,True,311.0
beta,beta032858,2023-10-12 12:02:00,tea,Bubble Tea,1.0,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,1312.0
beta,beta033067,2023-10-14 14:43:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,eat in,cash,F,False,
beta,beta033090,2023-10-14 17:19:00,coffee,Iced Latte,0.5,65,19.5,1,65,45.5,0.7,eat in,mobile,M,True,434.0
beta,beta033140,2023-10-15 14:21:00,coffee,Cappuccino,0.25,75,26.25,1,75,48.75,0.65,to go,mobile,M,False,
alpha,alpha025060,2023-10-16 07:46:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,eat in,credit card,M,False,
beta,beta033297,2023-10-16 15:17:00,coffee,Nitro Flat White,0.75,155,69.75,1,155,85.25,0.55,to go,mobile,M,True,205.0
alpha,alpha025167,2023-10-16 16:57:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,credit card,F,False,
beta,beta033365,2023-10-16 21:19:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,F,True,1467.0
beta,beta033644,2023-10-18 15:24:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,credit card,F,False,
alpha,alpha025484,2023-10-19 14:09:00,coffee,Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,credit card,F,False,
beta,beta033812,2023-10-19 15:27:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,credit card,M,True,943.0
alpha,alpha025508,2023-10-19 17:16:00,coffee,Americano,0.75,45,13.5,2,90,63.0,0.7,to go,credit card,F,True,545.0
beta,beta033846,2023-10-19 17:23:00,tea,Yuzu Tea,0.5,70,24.5,2,140,91.0,0.65,delivery,credit card,F,True,1099.0
alpha,alpha025576,2023-10-20 11:39:00,coffee,Mocha,0.25,70,28.0,3,210,126.0,0.6,to go,credit card,F,False,
